X,Y
[0],[0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.13105921214446425],[0.13009702414274216]
X,Y
[0.26344662928022444],[0.2583094500005245]
X,Y
[0.397207917063497],[0.3864879719913006]
X,Y
[0.5322974120499566],[0.5127818929031491]
X,Y
[0.6701346595073119],[0.6390080079436302]
X,Y
[0.8036675775656477],[0.757933053188026]
X,Y
[0.9399939201539382],[0.8786409851163626]
X,Y
[1.0749007066478953],[0.9975321283563972]
X,Y
[1.2125552498619072],[1.1163554647937417]
X,Y
[1.3543314250418916],[1.2350770896300673]
X,Y
[1.5003205795073882],[1.357398398220539]
X,Y
[1.6420967449666932],[1.4761200277134776]
X,Y
[1.7838729055947624],[1.594841661863029]
X,Y
[1.9298163735074922],[1.7153122806921601]
X,Y
[2.0799271463183686],[1.837531884200871]
X,Y
[2.218864190392196],[1.9526199428364635]
X,Y
[2.3717683813301846],[2.076622440479696]
X,Y
[2.512033625796903],[2.189825901761651]
X,Y
[2.656511846696958],[2.3066290449351072]
X,Y
[2.7897249957895838],[2.4125992450863123]
X,Y
[2.9314097774913535],[2.5276195062324405]
X,Y
[3.0730032120482065],[2.6389383748173714]
X,Y
[3.214642311213538],[2.7521079452708364]
X,Y
[3.357655284984503],[2.8652436127886176]
X,Y
[3.499248705804348],[2.9765624906867743]
X,Y
[3.639559583272785],[3.091616668738425]
X,Y
[3.781290006416384],[3.2084876457229257]
X,Y
[3.9216922188643366],[3.327243223786354]
X,Y
[4.065024869109038],[3.4533337848261]
X,Y
[4.2140357125899754],[3.586691520176828]
X,Y
[4.3559944711159915],[3.712815991602838]
X,Y
[4.495022784802131],[3.831605485640466]
X,Y
[4.635379299870692],[3.9485103813931346]
X,Y
[4.778392226377036],[4.0616460759192705]
X,Y
[4.922779029351659],[4.17474787030369]
X,Y
[5.065700604929589],[4.284182175993919]
X,Y
[5.21004172792891],[4.395433280616999]
X,Y
[5.353100306820124],[4.510419683530927]
X,Y
[5.506004388676956],[4.634422249160707]
X,Y
[5.646406541462056],[4.753177861683071]
X,Y
[5.789693459053524],[4.877417759038508]
X,Y
[5.927393517224118],[4.998091881163418]
X,Y
[6.062437154352665],[5.122535208240151]
X,Y
[6.194687354553025],[5.2451956467702985]
X,Y
[6.32428113790229],[5.371625291183591]
X,Y
[6.453966257511638],[5.501756331883371]
X,Y
[6.579575402662158],[5.633839784190059]
X,Y
[6.705184547347017],[5.765923235565424]
X,Y
[6.829511147458106],[5.901741990819573]
X,Y
[6.951089985668659],[6.037628553807735]
X,Y
[7.069921064248774],[6.173582927323878]
X,Y
[7.190217355266213],[6.313204791396856]
X,Y
[7.306346335972194],[6.4510776726529]
X,Y
[7.421147103887051],[6.590835154056549]
X,Y
[7.5402521835058],[6.737893719226122]
X,Y
[7.66357023594901],[6.888551966287196]
X,Y
[7.778370987973176],[7.028309455141425]
X,Y
[7.890378312848043],[7.1662840554490685]
X,Y
[8.005270396184642],[7.309742941521108]
X,Y
[8.120116809033789],[7.451351132243872]
X,Y
[8.232261128840037],[7.594877830706537]
X,Y
[8.344405444164295],[7.738404528237879]
X,Y
[8.455175876850262],[7.881965132430196]
X,Y
[8.56461809691973],[8.02741033770144]
X,Y
[8.672686436504591],[8.172889447771013]
X,Y
[8.782219985499978],[8.322036053054035]
X,Y
[8.893218752054963],[8.474850147031248]
X,Y
[9.001378415967338],[8.624030658043921]
X,Y
[9.106744649645407],[8.771428280510008]
X,Y
[9.219254285679199],[8.929760568775237]
X,Y
[9.338861659634858],[9.097176829352975]
X,Y
[9.4513712876942],[9.255509118549526]
X,Y
[9.556828842498362],[9.406608141027391]
X,Y
[9.662195055745542],[9.554005770012736]
X,Y
[9.766187382629141],[9.70143730379641]
X,Y
[9.871690596221015],[9.854387027211487]
X,Y
[9.979987226426601],[10.00911964289844]
X,Y
[10.092588165658526],[10.171153337694705]
X,Y
[10.198045693919994],[10.322252369485795]
X,Y
[10.2992902478436],[10.469751715660095]
X,Y
[10.403373887878843],[10.620884652249515]
X,Y
[10.510342291439883],[10.777501875534654]
X,Y
[10.611586828599684],[10.925001228228211]
X,Y
[10.715670459845569],[11.076134169474244]
X,Y
[10.81696065806318],[11.225484219379723]
X,Y
[10.922463827766478],[11.378433957695961]
X,Y
[11.023799689020962],[11.529634709469974]
X,Y
[11.129302847839426],[11.682584449648857]
X,Y
[11.232012575957924],[11.833751301281154]
X,Y
[11.334767973341513],[11.986768850125372]
X,Y
[11.436103815678507],[12.137969608418643]
X,Y
[11.536111449822783],[12.291054965928197]
X,Y
[11.636301752412692],[12.451543113216758]
X,Y
[11.733515954460017],[12.602845581248403]
X,Y
[11.83205835847184],[12.752263452857733]
X,Y
[11.93472239014227],[12.901579615660012]
X,Y
[12.047231901204214],[13.059911946766078]
X,Y
[12.156673973833676],[13.205357206054032]
X,Y
[12.268818123091478],[13.348883964121342]
X,Y
[12.385083903325722],[13.492309014312923]
X,Y
[12.502632218063809],[13.631998770870268]
X,Y
[12.624256486189552],[13.769736124202609]
X,Y
[12.747163292951882],[13.903738180175424]
X,Y
[12.871398301096633],[14.035855641588569]
X,Y
[12.99828972085379],[14.164203903637826]
X,Y
[13.130722314759623],[14.294267255812883]
X,Y
[13.26439177012071],[14.41874461621046]
X,Y
[13.399389432976022],[14.541337382048368]
X,Y
[13.538463053118903],[14.661977743729949]
X,Y
[13.67739966022782],[14.777066014707088]
X,Y
[13.817664470989257],[14.890269690193236]
X,Y
[13.963424786459655],[15.003337759524584]
X,Y
[14.117474024300463],[15.118053112179041]
X,Y
[14.26575374091044],[15.221799897961318]
X,Y
[14.416781204403378],[15.325478879734874]
X,Y
[14.56904553680215],[15.42357187345624]
X,Y
[14.721264194406103],[15.51981417182833]
X,Y
[14.88035223307088],[15.615886961109936]
X,Y
[15.044890103512444],[15.70997344981879]
X,Y
[15.209290966566186],[15.798507849685848]
X,Y
[15.372226612234954],[15.88337476272136]
X,Y
[15.530903619364835],[15.962791291065514]
X,Y
[15.692282705800608],[16.040289325639606]
X,Y
[15.860485505138058],[16.115767154842615]
X,Y
[16.024429666809738],[16.185794602148235]
X,Y
[16.192449784604833],[16.253869651816785]
X,Y
[16.36454586253967],[16.3199923010543]
X,Y
[16.533757180091925],[16.38063066639006]
X,Y
[16.70425103523303],[16.437533740885556]
X,Y
[16.882988146389835],[16.494233408011496]
X,Y
[17.056138410815038],[16.547367291525006]
X,Y
[17.234647174773272],[16.59481348283589]
X,Y
[17.428314248973038],[16.643737454898655]
X,Y
[17.603938251617365],[16.685699366033077]
X,Y
[17.780799127591308],[16.722075290046632]
X,Y
[17.958988210302778],[16.756566617637873]
X,Y
[18.130170906311832],[16.785675366409123]
X,Y
[18.309596859151497],[16.814580712467432]
X,Y
[18.494381313561462],[16.837798363529146]
X,Y
[18.673624593415298],[16.859300927259028]
X,Y
[18.85273086989764],[16.875251404941082]
X,Y
[19.038660860038362],[16.889181683771312]
X,Y
[19.221751761739142],[16.899478377774358]
X,Y
[19.399255820550025],[16.906209285371006]
X,Y
[19.59040731046116],[16.908899790607393]
X,Y
[19.764980949112214],[16.90829572081566]
X,Y
[19.942256671143696],[16.90577315632254]
X,Y
[20.11811285186559],[16.901433801278472]
X,Y
[20.292549489066005],[16.895277654752135]
X,Y
[20.46964254521299],[16.885352314449847]
X,Y
[20.65768094593659],[16.87330507580191]
X,Y
[20.83193491626298],[16.859746153466403]
X,Y
[21.010173515824135],[16.84053344000131]
X,Y
[21.191114202141762],[16.81940223276615]
X,Y
[21.37200922262855],[16.79642033483833]
X,Y
[21.55153036757838],[16.773472340777516]
X,Y
[21.732379721244797],[16.748639753088355]
X,Y
[21.906405362533405],[16.72582737263292]
X,Y
[22.095543645205908],[16.702642087824643]
X,Y
[22.273690915550105],[16.679728015325963]
X,Y
[0],[0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.0],[0.0]
X,Y
[0.13247876398963854],[0.13191381748765707]
X,Y
[0.2635379732819274],[0.2620108434930444]
X,Y
[0.39317762188147753],[0.39029107987880707]
X,Y
[0.5242368216859177],[0.5203881124034524]
X,Y
[0.6538764650467783],[0.648668353445828]
X,Y
[0.7848899791715667],[0.7769146915525198]
X,Y
[0.920162147260271],[0.9106114096939564]
X,Y
[1.0567625180119649],[1.042423527687788]
X,Y
[1.1877760176430456],[1.170669874176383]
X,Y
[1.3173699653707445],[1.2970994282513857]
X,Y
[1.449711665569339],[1.423461178317666]
X,Y
[1.5820990326465108],[1.5516736274585128]
X,Y
[1.7158602764829993],[1.679852170869708]
X,Y
[1.8537888233549893],[1.8097797026857734]
X,Y
[1.9847109533729963],[1.9343246687203646]
X,Y
[2.1198460621526465],[2.0624693175777793]
X,Y
[2.259148473618552],[2.1923629511147738]
X,Y
[2.412509375717491],[2.3348724208772182]
X,Y
[2.554605206474662],[2.466548948548734]
X,Y
[2.691068502725102],[2.5928090075030923]
X,Y
[2.8233188113663346],[2.7154693845659494]
X,Y
[2.9596907531959005],[2.8380280528217554]
X,Y
[3.094688813085668],[2.9606206277385354]
X,Y
[3.231060743390117],[3.083179301582277]
X,Y
[3.36880655225832],[3.2057040724903345]
X,Y
[3.505178477265872],[3.328262750990689]
X,Y
[3.640085174003616],[3.4471539426594973]
X,Y
[3.77778529538773],[3.5678280238062143]
X,Y
[3.9154397430829704],[3.686651410534978]
X,Y
[4.053139855153859],[3.8073254972696304]
X,Y
[4.192168170469813],[3.926114985719323]
X,Y
[4.329776933183894],[4.0430876817554235]
X,Y
[4.4688509101979434],[4.1637278739362955]
X,Y
[4.6079248823807575],[4.2843680661171675]
X,Y
[4.741549007128924],[4.406994575634599]
X,Y
[4.873890588001814],[4.533356385305524]
X,Y
[5.006277834996581],[4.6615688959136605]
X,Y
[5.138665079372004],[4.78978140745312]
X,Y
[5.266885011747945],[4.916244937106967]
X,Y
[5.403576561715454],[5.0517585296183825]
X,Y
[5.533261704724282],[5.181889554485679]
X,Y
[5.661572964396328],[5.312054483219981]
X,Y
[5.7940515239024535],[5.4439684031531215]
X,Y
[5.922362771932967],[5.574133337475359]
X,Y
[6.049254468060099],[5.70248148124665]
X,Y
[6.18333524238551],[5.843614988029003]
X,Y
[6.307524842384737],[5.973881640471518]
X,Y
[6.430294886638876],[6.102331504225731]
X,Y
[6.5586974520701915],[6.236197844147682]
X,Y
[6.682887036295142],[6.366464503109455]
X,Y
[6.80712228640914],[6.498581863939762]
X,Y
[6.9426225837669335],[6.641532174311578]
X,Y
[7.079496754216962],[6.784448588266969]
X,Y
[7.20510586805176],[6.916532049886882]
X,Y
[7.329341098957229],[7.0486494190990925]
X,Y
[7.457789302803576],[7.184366471134126]
X,Y
[7.586237497627735],[7.320083525963128]
X,Y
[7.717524788575247],[7.459434171207249]
X,Y
[7.843133878777735],[7.5915176421403885]
X,Y
[7.968788634403609],[7.725451814010739]
X,Y
[8.094443387468345],[7.859385988675058]
X,Y
[8.225730656529777],[7.998736643232405]
X,Y
[8.362650443101302],[8.143503775820136]
X,Y
[8.489724729559384],[8.27925475127995]
X,Y
[8.613959912909195],[8.411372140049934]
X,Y
[8.745247161772568],[8.550722802989185]
X,Y
[8.869482337730005],[8.682840194553137]
X,Y
[8.995137055055238],[8.816774384118617]
X,Y
[9.11941788950935],[8.950742479413748]
X,Y
[9.245072597288527],[9.08467667363584]
X,Y
[9.369399092218373],[9.220495470799506]
X,Y
[9.495053792721592],[9.354429666884243]
X,Y
[9.61938027816359],[9.490248467773199]
X,Y
[9.745080636814237],[9.626033366657794]
X,Y
[9.866613687481731],[9.760069280862808]
X,Y
[9.992359706317075],[9.897704881615937]
X,Y
[10.116686175053474],[10.033523689955473]
X,Y
[10.239638759172522],[10.169376403093338]
X,Y
[10.364056555379648],[10.30889661051333]
X,Y
[10.485635254532099],[10.444783233106136]
X,Y
[10.6072596142767],[10.58252055104822]
X,Y
[10.731723067699932],[10.72389146219939]
X,Y
[10.852019211801235],[10.863513385877013]
X,Y
[10.97089580440661],[11.001318517141044]
X,Y
[11.089818063832354],[11.140974349342287]
X,Y
[11.208694647240918],[11.278779484331608]
X,Y
[11.328945103625301],[11.416550720110536]
X,Y
[11.454736734507605],[11.556037042289972]
X,Y
[11.580391352879815],[11.68997127469629]
X,Y
[11.70604596863268],[11.823905509896576]
X,Y
[11.842828602064401],[11.963120616972446]
X,Y
[11.971093955566175],[12.091434958390892]
X,Y
[12.102061390003655],[12.21783080138266]
X,Y
[12.235730903281365],[12.34230814408511]
X,Y
[12.37077428912744],[12.466751585714519]
X,Y
[12.507100211689249],[12.587459735572338]
X,Y
[12.648967303335667],[12.709882970899343]
X,Y
[12.78932351025287],[12.82678802125156]
X,Y
[12.933847012929618],[12.945442062802613]
X,Y
[13.07827917317627],[13.060394714586437]
X,Y
[13.222619986860082],[13.171645974740386]
X,Y
[13.369662885612343],[13.28097873646766]
X,Y
[13.518033988249954],[13.38842689897865]
X,Y
[13.67043537797872],[13.492071964778006]
X,Y
[13.825538850738667],[13.593798531219363]
X,Y
[13.981970525346696],[13.693640504032373]
X,Y
[14.136891314876266],[13.787964289076626]
X,Y
[14.291857766511384],[13.884138772264123]
X,Y
[14.446732878976036],[13.976611867547035]
X,Y
[14.604355741175823],[14.06901716068387]
X,Y
[14.76326113723917],[14.157687161117792]
X,Y
[14.926288162125275],[14.246255456469953]
X,Y
[15.086430423893034],[14.32933947071433]
X,Y
[15.253442064160481],[14.412253978662193]
X,Y
[15.417568944045343],[14.489684200845659]
X,Y
[15.584397903527133],[14.565195927396417]
X,Y
[15.758050577482209],[14.638687449507415]
X,Y
[15.927444612956606],[14.706728590652347]
X,Y
[16.099540730472654],[14.77285123616457]
X,Y
[16.270171629614197],[14.835306391119957]
X,Y
[16.444878490059637],[14.895809147506952]
X,Y
[16.619494011392817],[14.952610513195395]
X,Y
[16.795437736669555],[15.00752728804946]
X,Y
[16.972664004191756],[15.05870876647532]
X,Y
[17.149844596977346],[15.108039556071162]
X,Y
[17.32826206262689],[15.151784354820848]
X,Y
[17.505305649130605],[15.195563060231507]
X,Y
[17.682257897919044],[15.235640375874937]
X,Y
[17.861866562685464],[15.271948498673737]
X,Y
[18.038681802339852],[15.306473731994629]
X,Y
[18.21677958377404],[15.33726367354393]
X,Y
[18.39483169594314],[15.3662029216066]
X,Y
[18.574120680859778],[15.389556181617081]
X,Y
[18.756111750379205],[15.410990948788822]
X,Y
[18.938057149061933],[15.430575022473931]
X,Y
[19.119956881331746],[15.448308401741087]
X,Y
[19.304558698553592],[15.46412328723818]
X,Y
[19.48632142698625],[15.476304584182799]
X,Y
[19.68044904450653],[15.488180776126683]
X,Y
[19.864868190255947],[15.496592888608575]
X,Y
[20.049287335481495],[15.505005004815757]
X,Y
[20.232332603191026],[15.513451025821269]
X,Y
[20.424949339823797],[15.519809048622847]
X,Y
[20.610742359538563],[15.528187278658152]
X,Y
[20.792368081747554],[15.534816518425941]
X,Y
[20.97399380337447],[15.541445763781667]
X,Y
[21.155619522207417],[15.548075013794005]
X,Y
[21.337199578119908],[15.552853571251035]
X,Y
[21.52019917254802],[15.55944892950356]
X,Y
[21.70182488975115],[15.56607819441706]
X,Y
[21.883450610446744],[15.572707463987172]
X,Y
[22.066450203070417],[15.579302837140858]
X,Y
[22.248030254093464],[15.584081418812275]
X,Y
[22.425534341135062],[15.590812403708696]
X,Y
[22.604412304237485],[15.597509492188692]
X,Y
[22.78049684711732],[15.602423690259457]
X,Y
[22.964915981865488],[15.61083588283509]
X,Y
[23.141046189935878],[15.617600785568357]
X,Y
[23.324045780464076],[15.624196193180978]
X,Y
[23.50571715994738],[15.632676200009882]
X,Y
[23.69155583466636],[15.642905208282173]
X,Y
[23.867731706239283],[15.651520827785134]
X,Y
[24.04802920273505],[15.660034749656916]
X,Y
[24.2255789496121],[15.66861647926271]
X,Y
[24.407295993587468],[15.6789472065866]
X,Y
[24.59034124331083],[15.68739334307611]
X,Y
[24.772012617788278],[15.695873382501304]
X,Y
[24.94681460870197],[15.704522928223014]
X,Y
[25.128531647496857],[15.714853676036]
X,Y
[25.312950773106422],[15.723265930078924]
X,Y
[25.520817130920477],[15.73480328079313]
X,Y
[25.70248850173084],[15.743283346295357]
X,Y
[25.88141211878974],[15.751831215806305]
X,Y
[26.057587981922552],[15.760446889325976]
X,Y
[26.237885472131893],[15.768960868008435]
X,Y
[26.419602507608943],[15.779291647486389]
X,Y
[26.594358824833762],[15.786090537905693]
X,Y
[26.77744973130757],[15.796387428417802]
X,Y
[26.956327681080438],[15.803084627725184]
X,Y
[27.13387741468614],[15.811666429974139]
X,Y
[27.31554877932649],[15.820146537385881]
X,Y
[27.497220143326558],[15.828626646660268]
X,Y
[27.677517629985232],[15.83714066259563]
X,Y
[27.855021697934717],[15.843871785327792]
X,Y
[28.03806693648221],[15.852318010292947]
X,Y
[28.221112174214795],[15.860764239914715]
X,Y
[28.40553128789179],[15.869176574982703]
X,Y
[28.58720264560543],[15.87765671312809]
X,Y
[28.770247883396223],[15.886102957651019]
X,Y
[28.9505453632446],[15.89461700618267]
X,Y
[29.12672121275682],[15.903232757933438]
X,Y
[29.308392569888383],[15.911712915636599]
X,Y
[29.491437802789733],[15.92015917878598]
X,Y
[29.67448303499259],[15.92860544566065]
X,Y
[29.856154390028678],[15.93708561733365]
X,Y
[30.03915395634249],[15.943681197240949]
X,Y
[30.216703680576757],[15.952263077721]
X,Y
[30.40249666303862],[15.96064156666398]
X,Y
[30.58828964480199],[15.969020059332252]
X,Y
[30.771334872813895],[15.9774663541466]
X,Y
[30.951632347190753],[15.985980453900993]
X,Y
[31.133303697337396],[15.994460660032928]
X,Y
[31.312227291753516],[16.003008667379618]
X,Y
[31.498020272061694],[16.011387184262276]
X,Y
[31.671448357054032],[16.020070797763765]
X,Y
[31.851700164028443],[16.02673422265798]
